jobID	P	T	Energy
753970	0.3	0.1	-828.099142603
753984	0.3	0.2	-813.52719456
675895	0.3	0.3	-1542.1037467
753985	0.3	0.4	-581.649210269
675919	0.3	0.5	-986.797647858
753986	0.3	0.6	-319.275321881
753987	0.3	0.7	-317.039817254
753990	0.3	0.8	nan
753991	0.3	0.9	11.0956660892
753992	0.3	1.0	-54.771301901
753805	0.4	0.1	-828.2950344
753806	0.4	0.2	-678.036992391
753809	0.4	0.3	-614.846548499
753812	0.4	0.4	-580.938137639
678604	0.4	0.5	-1113.06147961
753813	0.4	0.6	-319.275321881
753815	0.4	0.7	-317.039817254
753816	0.4	0.8	-241.738188031
753817	0.4	0.9	12.8978580743
753818	0.4	1.0	-55.6505515161
753780	0.5	0.2	-659.290816303
675905	0.5	0.3	-1643.99414159
753786	0.5	0.4	-744.539799051
675913	0.5	0.5	-1206.55895092
753787	0.5	0.6	-319.275321881
675914	0.5	0.7	-870.645538402
753788	0.5	0.8	-239.533711822
753789	0.5	0.9	11.556473652
753790	0.5	1.0	-155.316541829
753846	0.6	0.1	nan
753847	0.6	0.2	-659.288736873
753848	0.6	0.3	-614.801935408
753849	0.6	0.4	-744.051870238
678605	0.6	0.5	-1277.62106682
753850	0.6	0.6	-318.698937624
753851	0.6	0.7	-257.017191546
753852	0.6	0.8	-241.278829591
753853	0.6	0.9	-5.61064870662
753854	0.6	1.0	-20.5827002134
753869	0.7	0.1	-827.913218219
753870	0.7	0.2	-667.870215275
753871	0.7	0.3	-614.807344558
753872	0.7	0.4	-581.541759556
675920	0.7	0.5	-1332.59294574
753873	0.7	0.6	-318.964051972
753874	0.7	0.7	-256.793796526
753875	0.7	0.8	-241.783457491
753876	0.7	0.9	50.2712726119
753879	0.7	1.0	-52.3695067741
678646	0.8	0.5	-1381.26572261
678649	0.9	0.5	-1419.0109225
678651	1.0	0.5	-1450.06193186
