P	T	E	L
0.1	0.1	-1949.44497464	2274.08927378
0.1	0.2	-1716.11735844	2502.62840043
0.1	0.3	-1209.8348786	4037.17892464
0.1	0.4	-762.078726761	6657.36693676
0.1	0.5	-1.40629115741	10002.6761426
0.1	0.6	-0.912634192494	12003.2230086
0.1	0.7	-0.650453721	14010.4015152
0.1	0.8	-0.497576532792	16007.5953299
0.1	0.9	-0.399649267153	18005.7787692
0.1	1.0	-0.33130768056	20012.8392643
0.2	0.1	-1953.30364378	2268.61136884
0.2	0.2	-1778.94807246	2368.01085343
0.2	0.3	-1440.62307877	2886.0811044
0.2	0.4	-1079.751672	3888.11829227
0.2	0.5	-801.154367681	5090.10636924
0.2	0.6	-611.991366313	6314.64673707
0.2	0.7	-1.30419048164	7004.22454148
0.2	0.8	-0.949532417402	8004.23415204
0.2	0.9	-0.809654896151	9004.16625542
0.2	1.0	-0.670446423755	10004.9299208
0.3	0.1	-1956.56965288	2264.01595952
0.3	0.2	-1805.37258824	2334.99622337
0.3	0.3	-1546.4449614	2598.3777914
0.3	0.4	-1248.13255845	3137.21845972
0.3	0.5	-987.178653928	3853.05677714
0.3	0.6	-788.051942766	4630.5141581
0.3	0.7	-2.65878280303	4667.45514861
0.3	0.8	-1.49369182349	5334.93585542
0.3	0.9	-1.18002673874	6000.87961485
0.3	1.0	-1.01456914546	6667.62270926
0.4	0.1	-1959.88428668	2258.7248649
0.4	0.2	-1822.00379694	2320.54543754
0.4	0.3	-1616.07568317	2480.74660741
0.4	0.5	-1120.84960518	3285.61761753
0.4	0.6	-918.816687448	3874.29215998
0.4	0.7	-768.974667055	4432.04449925
0.4	0.8	-2.04189088925	3999.8060911
0.4	0.9	-1.60141370923	4503.46463862
0.4	1.0	-1.2921570539	5003.36746513
0.5	0.1	-1961.72425188	2254.76420497
0.5	0.2	-1832.49970595	2309.70550473
0.5	0.3	-1652.61742794	2427.1037436
0.5	0.4	-1449.60695734	2625.37561699
0.5	0.5	-1216.09307557	2990.08790587
0.5	0.6	-1019.91494069	3441.99617531
0.6	0.1	-1963.03205604	2250.20403783
0.6	0.2	-1842.70502491	2298.76623957
0.6	0.3	-1677.13855209	2398.82956149
0.6	0.4	-1484.00838756	2575.03060218
0.6	0.5	-1280.28900762	2850.06271156
0.6	0.6	-1110.8144288	3136.77019689
0.6	0.9	-733.183902849	4184.42254615
0.6	1.0	-656.211703937	4521.76785551
0.7	0.1	-1963.68610705	2246.43129372
0.7	0.2	-1848.30698844	2292.09683487
0.7	0.3	-1693.84894024	2381.18324281
0.7	0.4	-2319.20615385	2488.8305
0.7	0.5	-1336.03117049	2733.68949271
0.7	0.7	-1568.59481733	3212.7196
0.8	0.1	-1964.88239527	2242.42495831
0.8	0.2	-1853.61626924	2285.39746226
0.9	0.1	-1964.50507826	2238.84413812
0.9	0.2	-1859.65371936	2278.50402921
1.0	0.1	-1964.3689431	2235.36294049
1.0	0.2	-1863.5940353	2272.66431191
1.0	0.4	-1599.9419607	2422.32754628
1.0	0.5	-1453.09052419	2545.18580401
1.0	0.6	-1313.63456368	2692.05772074
1.0	0.7	-1586.18703333	2378.12568889
P	T	Energy	Length
